Tiempo (s)	Velocidad (m/s)	Fuerza (N)
0,000		4,41
0,050		4,44
0,100	-0,022	4,56
0,150	-0,023	4,52
0,200	-0,028	4,33
0,250	-0,036	4,26
0,300	-0,047	4,48
0,350	-0,057	4,58
0,400	-0,064	4,56
0,450	-0,068	4,53
0,500	-0,068	4,36
0,550	-0,063	4,58
0,600	-0,051	4,91
0,650	-0,033	4,81
0,700	-0,013	4,62
0,750	0,006	4,56
0,800	0,020	4,51
0,850	0,028	4,49
0,900	0,029	4,49
0,950	0,026	4,41
1,000	0,020	4,42
1,050	0,015	4,41
1,100	0,009	4,48
1,150	0,003	4,51
1,200	-0,001	4,45
1,250	-0,004	4,47
1,300	-0,004	4,55
1,350	-0,003	4,65
1,400	0,003	4,62
1,450	0,016	4,68
1,500	0,033	4,68
1,550	0,054	4,77
1,600	0,078	4,82
1,650	0,115	5,08
1,700	0,170	5,45
1,750	0,250	5,72
1,800	0,352	5,85
1,850	0,472	5,93
1,900	0,602	6,10
1,950	0,734	5,45
2,000	0,864	5,59
2,050	0,980	5,46
2,100	1,079	5,19
2,150	1,154	4,96
2,200	1,204	4,58
2,250	1,230	4,23
2,300	1,233	4,37
2,350	1,215	4,22
2,400	1,186	4,01
2,450	1,146	4,11
2,500	1,099	3,90
2,550	1,039	3,60
2,600	0,957	3,30
2,650	0,842	2,79
2,700	0,692	2,50
2,750	0,522	2,51
2,800	0,346	3,01
2,850	0,183	3,26
2,900	0,054	3,89
2,950	-0,032	4,32
3,000	-0,080	4,46
3,050	-0,102	4,53
3,100	-0,105	4,70
3,150	-0,096	4,74
3,200	-0,087	4,46
3,250	-0,087	4,13
3,300	-0,097	4,20
3,350	-0,110	4,59
3,400	-0,118	4,67
3,450	-0,116	4,52
3,500	-0,113	4,38
3,550	-0,115	4,32
3,600	-0,121	4,54
3,650	-0,124	4,56
3,700	-0,121	4,70
3,750	-0,113	4,50
3,800	-0,105	4,54
3,850	-0,094	4,64
3,900	-0,081	4,85
3,950	-0,063	4,77
4,000	-0,039	4,68
4,050	-0,019	4,53
4,100	-0,007	4,45
4,150	-0,006	4,49
4,200	-0,006	4,45
4,250	-0,006	4,55
4,300	-0,004	4,54
4,350	-0,003	4,56
4,400	0,000	4,54
4,450	0,003	4,45
4,500	0,001	4,44
4,550	-0,003	4,45
4,600	-0,009	4,49
4,650	-0,015	4,38
4,700	-0,020	4,39
4,750	-0,026	4,50
4,800	-0,028	4,65
4,850	-0,022	4,66
4,900	-0,012	4,62
4,950	-0,001	4,57
5,000	0,004	4,40
5,050	0,006	4,42
5,100	0,004	4,47
